User ID,Video ID,Content Type,Video Length,Total Video views,Total Watchtime,Mid role ads,Charges of Midrole Ads per 1000 views,Revenue Generated by the video,User's Share,Our Share,,
USR78504,VIDID-12-2025-31530,Cooking,0:10:00,2973163,495527:10:00,1, ? 300.00 ," ? 891,948.90 "," ? 668,961.68 "," ? 222,987.23 ",,
USR93146,VIDID-12-2025-46685,Cooking,0:10:00,1745381,290896:50:00,1, ? 300.00 ," ? 523,614.30 "," ? 392,710.73 "," ? 130,903.58 ",,
USR2140,VIDID-12-2025-76418,Technology,0:12:00,3130981,626196:12:00,2, ? 500.00 ," ? 3,130,981.00 "," ? 2,348,235.75 "," ? 782,745.25 ",,
USR55493,VIDID-12-2025-54975,Political,0:20:00,4771640,1590546:40:00,3, ? 50.00 ," ? 715,746.00 "," ? 536,809.50 "," ? 178,936.50 ",,
USR34401,VIDID-12-2025-68119,ASMR,0:20:00,8649059,2883019:40:00,3, ? 150.00 ," ? 3,892,076.55 "," ? 2,919,057.41 "," ? 973,019.14 ",,
USR95339,VIDID-12-2025-6996,Political,0:20:00,118893,39631:00:00,3, ? 50.00 ," ? 17,833.95 "," ? 13,375.46 "," ? 4,458.49 ",,
USR74549,VIDID-12-2025-45748,Life Style,0:22:00,6854347,2513260:34:00,3, ? 250.00 ," ? 5,140,760.25 "," ? 3,855,570.19 "," ? 1,285,190.06 ",,
USR80823,VIDID-12-2025-40826,Gaming,1:00:00,9933001,9933001:00:00,8, ? 100.00 ," ? 7,946,400.80 "," ? 5,959,800.60 "," ? 1,986,600.20 ",,
USR35600,VIDID-12-2025-12612,ASMR,0:20:00,6853147,2284382:20:00,3, ? 150.00 ," ? 3,083,916.15 "," ? 2,312,937.11 "," ? 770,979.04 ",,
USR51155,VIDID-12-2025-69365,Political,0:20:00,2292045,764015:00:00,3, ? 50.00 ," ? 343,806.75 "," ? 257,855.06 "," ? 85,951.69 ",,
USR67798,VIDID-12-2025-79759,Entertainment,0:15:00,2056282,514070:30:00,2, ? 350.00 ," ? 1,439,397.40 "," ? 1,079,548.05 "," ? 359,849.35 ",,
USR65494,VIDID-12-2025-87109,Entertainment,0:15:00,1155058,288764:30:00,2, ? 350.00 ," ? 808,540.60 "," ? 606,405.45 "," ? 202,135.15 ",,
USR36420,VIDID-12-2025-52277,Life Style,0:22:00,7465891,2737493:22:00,3, ? 250.00 ," ? 5,599,418.25 "," ? 4,199,563.69 "," ? 1,399,854.56 ",,
USR14705,VIDID-12-2025-6177,ASMR,0:20:00,5876631,1958877:00:00,3, ? 150.00 ," ? 2,644,483.95 "," ? 1,983,362.96 "," ? 661,120.99 ",,
USR53637,VIDID-12-2025-17574,Political,0:20:00,1787262,595754:00:00,3, ? 50.00 ," ? 268,089.30 "," ? 201,066.98 "," ? 67,022.33 ",,
USR96103,VIDID-12-2025-83722,Educational,0:35:00,4327417,2524326:35:00,4, ? 200.00 ," ? 3,461,933.60 "," ? 2,596,450.20 "," ? 865,483.40 ",,
USR40220,VIDID-12-2025-28031,Political,0:20:00,2221091,740363:40:00,3, ? 50.00 ," ? 333,163.65 "," ? 249,872.74 "," ? 83,290.91 ",,
USR16281,VIDID-12-2025-12599,Life Style,0:22:00,4345883,1593490:26:00,3, ? 250.00 ," ? 3,259,412.25 "," ? 2,444,559.19 "," ? 814,853.06 ",,
USR10670,VIDID-12-2025-65881,Entertainment,0:15:00,257541,64385:15:00,2, ? 350.00 ," ? 180,278.70 "," ? 135,209.03 "," ? 45,069.68 ",,
USR70357,VIDID-12-2025-23639,Life Style,0:22:00,1476170,541262:20:00,3, ? 250.00 ," ? 1,107,127.50 "," ? 830,345.63 "," ? 276,781.88 ",,
USR76048,VIDID-12-2025-1966,Educational,0:35:00,1632705,952411:15:00,4, ? 200.00 ," ? 1,306,164.00 "," ? 979,623.00 "," ? 326,541.00 ",,
USR42778,VIDID-12-2025-85000,Gaming,1:00:00,7771851,7771851:00:00,8, ? 100.00 ," ? 6,217,480.80 "," ? 4,663,110.60 "," ? 1,554,370.20 ",,
USR70536,VIDID-12-2025-81317,Technology,0:12:00,2930066,586013:12:00,2, ? 500.00 ," ? 2,930,066.00 "," ? 2,197,549.50 "," ? 732,516.50 ",,
USR50926,VIDID-12-2025-5885,Entertainment,0:15:00,2774783,693695:45:00,2, ? 350.00 ," ? 1,942,348.10 "," ? 1,456,761.08 "," ? 485,587.03 ",,
USR17408,VIDID-12-2025-63694,Political,0:20:00,1010538,336846:00:00,3, ? 50.00 ," ? 151,580.70 "," ? 113,685.53 "," ? 37,895.18 ",,
USR26380,VIDID-12-2025-80757,News,0:25:00,2758849,1149520:25:00,3, ? 400.00 ," ? 3,310,618.80 "," ? 2,482,964.10 "," ? 827,654.70 ",,
USR45874,VIDID-12-2025-64751,Educational,0:35:00,8110951,4731388:05:00,4, ? 200.00 ," ? 6,488,760.80 "," ? 4,866,570.60 "," ? 1,622,190.20 ",,
USR62303,VIDID-12-2025-66077,Entertainment,0:15:00,3483483,870870:45:00,2, ? 350.00 ," ? 2,438,438.10 "," ? 1,828,828.58 "," ? 609,609.53 ",,
USR96671,VIDID-12-2025-84337,Entertainment,0:15:00,9059197,2264799:15:00,2, ? 350.00 ," ? 6,341,437.90 "," ? 4,756,078.43 "," ? 1,585,359.48 ",,
USR49539,VIDID-12-2025-51254,News,0:25:00,5154738,2147807:30:00,3, ? 400.00 ," ? 6,185,685.60 "," ? 4,639,264.20 "," ? 1,546,421.40 ",,
USR2786,VIDID-12-2025-97034,Educational,0:35:00,6947847,4052910:45:00,4, ? 200.00 ," ? 5,558,277.60 "," ? 4,168,708.20 "," ? 1,389,569.40 ",,
USR86988,VIDID-12-2025-60515,ASMR,0:20:00,4952837,1650945:40:00,3, ? 150.00 ," ? 2,228,776.65 "," ? 1,671,582.49 "," ? 557,194.16 ",,
USR39761,VIDID-12-2025-46850,Technology,0:12:00,4709451,941890:12:00,2, ? 500.00 ," ? 4,709,451.00 "," ? 3,532,088.25 "," ? 1,177,362.75 ",,
USR62752,VIDID-12-2025-41049,Cooking,0:10:00,1637018,272836:20:00,1, ? 300.00 ," ? 491,105.40 "," ? 368,329.05 "," ? 122,776.35 ",,
USR14127,VIDID-12-2025-61544,Gaming,1:00:00,6866636,6866636:00:00,8, ? 100.00 ," ? 5,493,308.80 "," ? 4,119,981.60 "," ? 1,373,327.20 ",,
USR78193,VIDID-12-2025-46110,Cooking,0:10:00,225332,37555:20:00,1, ? 300.00 ," ? 67,599.60 "," ? 50,699.70 "," ? 16,899.90 ",,
USR84670,VIDID-12-2025-91279,Gaming,1:00:00,2105257,2105257:00:00,8, ? 100.00 ," ? 1,684,205.60 "," ? 1,263,154.20 "," ? 421,051.40 ",,
USR71547,VIDID-12-2025-4195,Technology,0:12:00,2656154,531230:48:00,2, ? 500.00 ," ? 2,656,154.00 "," ? 1,992,115.50 "," ? 664,038.50 ",,
USR70835,VIDID-12-2025-55566,Political,0:20:00,1871876,623958:40:00,3, ? 50.00 ," ? 280,781.40 "," ? 210,586.05 "," ? 70,195.35 ",,
USR64754,VIDID-12-2025-82446,Entertainment,0:15:00,8925867,2231466:45:00,2, ? 350.00 ," ? 6,248,106.90 "," ? 4,686,080.18 "," ? 1,562,026.73 ",,
USR76719,VIDID-12-2025-66357,Technology,0:12:00,7458846,1491769:12:00,2, ? 500.00 ," ? 7,458,846.00 "," ? 5,594,134.50 "," ? 1,864,711.50 ",,
USR17479,VIDID-12-2025-73846,Gaming,1:00:00,7672587,7672587:00:00,8, ? 100.00 ," ? 6,138,069.60 "," ? 4,603,552.20 "," ? 1,534,517.40 ",,
USR46448,VIDID-12-2025-98604,Life Style,0:22:00,7679743,2815905:46:00,3, ? 250.00 ," ? 5,759,807.25 "," ? 4,319,855.44 "," ? 1,439,951.81 ",,
USR18757,VIDID-12-2025-45919,Educational,0:35:00,2360617,1377026:35:00,4, ? 200.00 ," ? 1,888,493.60 "," ? 1,416,370.20 "," ? 472,123.40 ",,
USR60081,VIDID-12-2025-88086,Entertainment,0:15:00,6565693,1641423:15:00,2, ? 350.00 ," ? 4,595,985.10 "," ? 3,446,988.83 "," ? 1,148,996.28 ",,
USR25567,VIDID-12-2025-58158,ASMR,0:20:00,6641572,2213857:20:00,3, ? 150.00 ," ? 2,988,707.40 "," ? 2,241,530.55 "," ? 747,176.85 ",,
USR96651,VIDID-12-2025-98072,News,0:25:00,2961586,1233994:10:00,3, ? 400.00 ," ? 3,553,903.20 "," ? 2,665,427.40 "," ? 888,475.80 ",,
USR6137,VIDID-12-2025-48988,Gaming,1:00:00,6011426,6011426:00:00,8, ? 100.00 ," ? 4,809,140.80 "," ? 3,606,855.60 "," ? 1,202,285.20 ",,
USR31721,VIDID-12-2025-65345,Educational,0:35:00,2150720,1254586:40:00,4, ? 200.00 ," ? 1,720,576.00 "," ? 1,290,432.00 "," ? 430,144.00 ",,
USR49816,VIDID-12-2025-20143,Educational,0:35:00,4481699,2614324:25:00,4, ? 200.00 ," ? 3,585,359.20 "," ? 2,689,019.40 "," ? 896,339.80 ",,
USR98373,VIDID-12-2025-82116,Entertainment,0:15:00,1576757,394189:15:00,2, ? 350.00 ," ? 1,103,729.90 "," ? 827,797.43 "," ? 275,932.48 ",,
USR92198,VIDID-12-2025-55263,Entertainment,0:15:00,3327626,831906:30:00,2, ? 350.00 ," ? 2,329,338.20 "," ? 1,747,003.65 "," ? 582,334.55 ",,
USR22198,VIDID-12-2025-1781,Entertainment,0:15:00,4631414,1157853:30:00,2, ? 350.00 ," ? 3,241,989.80 "," ? 2,431,492.35 "," ? 810,497.45 ",,
USR94337,VIDID-12-2025-36705,Entertainment,0:15:00,5781276,1445319:00:00,2, ? 350.00 ," ? 4,046,893.20 "," ? 3,035,169.90 "," ? 1,011,723.30 ",,
USR85943,VIDID-12-2025-12350,Life Style,0:22:00,3502684,1284317:28:00,3, ? 250.00 ," ? 2,627,013.00 "," ? 1,970,259.75 "," ? 656,753.25 ",,
USR58392,VIDID-12-2025-43158,Technology,0:12:00,9339860,1867972:00:00,2, ? 500.00 ," ? 9,339,860.00 "," ? 7,004,895.00 "," ? 2,334,965.00 ",,
USR47896,VIDID-12-2025-78449,Technology,0:12:00,2814246,562849:12:00,2, ? 500.00 ," ? 2,814,246.00 "," ? 2,110,684.50 "," ? 703,561.50 ",,
USR68644,VIDID-12-2025-99088,Technology,0:12:00,4980670,996134:00:00,2, ? 500.00 ," ? 4,980,670.00 "," ? 3,735,502.50 "," ? 1,245,167.50 ",,
USR7777,VIDID-12-2025-1700,Gaming,1:00:00,1577576,1577576:00:00,8, ? 100.00 ," ? 1,262,060.80 "," ? 946,545.60 "," ? 315,515.20 ",,
USR93740,VIDID-12-2025-87965,Educational,0:35:00,3937218,2296710:30:00,4, ? 200.00 ," ? 3,149,774.40 "," ? 2,362,330.80 "," ? 787,443.60 ",,
USR84974,VIDID-12-2025-56932,Technology,0:12:00,2511617,502323:24:00,2, ? 500.00 ," ? 2,511,617.00 "," ? 1,883,712.75 "," ? 627,904.25 ",,
USR10773,VIDID-12-2025-95479,Life Style,0:22:00,5328534,1953795:48:00,3, ? 250.00 ," ? 3,996,400.50 "," ? 2,997,300.38 "," ? 999,100.13 ",,
USR10740,VIDID-12-2025-41935,Gaming,1:00:00,3218063,3218063:00:00,8, ? 100.00 ," ? 2,574,450.40 "," ? 1,930,837.80 "," ? 643,612.60 ",,
USR99695,VIDID-12-2025-98263,Life Style,0:22:00,6478320,2375384:00:00,3, ? 250.00 ," ? 4,858,740.00 "," ? 3,644,055.00 "," ? 1,214,685.00 ",,
USR22883,VIDID-12-2025-6222,ASMR,0:20:00,6622381,2207460:20:00,3, ? 150.00 ," ? 2,980,071.45 "," ? 2,235,053.59 "," ? 745,017.86 ",,
USR26527,VIDID-12-2025-25069,Gaming,1:00:00,9830081,9830081:00:00,8, ? 100.00 ," ? 7,864,064.80 "," ? 5,898,048.60 "," ? 1,966,016.20 ",,
USR23907,VIDID-12-2025-82342,News,0:25:00,4187692,1744871:40:00,3, ? 400.00 ," ? 5,025,230.40 "," ? 3,768,922.80 "," ? 1,256,307.60 ",,
USR33504,VIDID-12-2025-24617,Gaming,1:00:00,841915,841915:00:00,8, ? 100.00 ," ? 673,532.00 "," ? 505,149.00 "," ? 168,383.00 ",,
USR61076,VIDID-12-2025-91308,Educational,0:35:00,2303652,1343797:00:00,4, ? 200.00 ," ? 1,842,921.60 "," ? 1,382,191.20 "," ? 460,730.40 ",,
USR9437,VIDID-12-2025-64745,Technology,0:12:00,6062339,1212467:48:00,2, ? 500.00 ," ? 6,062,339.00 "," ? 4,546,754.25 "," ? 1,515,584.75 ",,
USR17602,VIDID-12-2025-37096,Cooking,0:10:00,247714,41285:40:00,1, ? 300.00 ," ? 74,314.20 "," ? 55,735.65 "," ? 18,578.55 ",,
USR33088,VIDID-12-2025-28443,Political,0:20:00,3064333,1021444:20:00,3, ? 50.00 ," ? 459,649.95 "," ? 344,737.46 "," ? 114,912.49 ",,
USR96475,VIDID-12-2025-6273,Educational,0:35:00,5712204,3332119:00:00,4, ? 200.00 ," ? 4,569,763.20 "," ? 3,427,322.40 "," ? 1,142,440.80 ",,
USR50718,VIDID-12-2025-55417,Gaming,1:00:00,4296224,4296224:00:00,8, ? 100.00 ," ? 3,436,979.20 "," ? 2,577,734.40 "," ? 859,244.80 ",,
USR5490,VIDID-12-2025-28228,Educational,0:35:00,9904677,5777728:15:00,4, ? 200.00 ," ? 7,923,741.60 "," ? 5,942,806.20 "," ? 1,980,935.40 ",,
USR51254,VIDID-12-2025-76553,Gaming,1:00:00,9257501,9257501:00:00,8, ? 100.00 ," ? 7,406,000.80 "," ? 5,554,500.60 "," ? 1,851,500.20 ",,
USR24788,VIDID-12-2025-84057,Technology,0:12:00,9429514,1885902:48:00,2, ? 500.00 ," ? 9,429,514.00 "," ? 7,072,135.50 "," ? 2,357,378.50 ",,
USR83088,VIDID-12-2025-48902,Political,0:20:00,7802555,2600851:40:00,3, ? 50.00 ," ? 1,170,383.25 "," ? 877,787.44 "," ? 292,595.81 ",,
USR43154,VIDID-12-2025-71353,ASMR,0:20:00,2145306,715102:00:00,3, ? 150.00 ," ? 965,387.70 "," ? 724,040.78 "," ? 241,346.93 ",,
USR69319,VIDID-12-2025-25380,Gaming,1:00:00,422646,422646:00:00,8, ? 100.00 ," ? 338,116.80 "," ? 253,587.60 "," ? 84,529.20 ",,
USR99177,VIDID-12-2025-94370,Gaming,1:00:00,2654623,2654623:00:00,8, ? 100.00 ," ? 2,123,698.40 "," ? 1,592,773.80 "," ? 530,924.60 ",,
USR61914,VIDID-12-2025-3336,Cooking,0:10:00,1249485,208247:30:00,1, ? 300.00 ," ? 374,845.50 "," ? 281,134.13 "," ? 93,711.38 ",,
USR8964,VIDID-12-2025-98293,Gaming,1:00:00,2621673,2621673:00:00,8, ? 100.00 ," ? 2,097,338.40 "," ? 1,573,003.80 "," ? 524,334.60 ",,
USR33924,VIDID-12-2025-12156,Entertainment,0:15:00,8689903,2172475:45:00,2, ? 350.00 ," ? 6,082,932.10 "," ? 4,562,199.08 "," ? 1,520,733.03 ",,
USR11889,VIDID-12-2025-89937,News,0:25:00,5300420,2208508:20:00,3, ? 400.00 ," ? 6,360,504.00 "," ? 4,770,378.00 "," ? 1,590,126.00 ",,
USR40026,VIDID-12-2025-60939,ASMR,0:20:00,6523200,2174400:00:00,3, ? 150.00 ," ? 2,935,440.00 "," ? 2,201,580.00 "," ? 733,860.00 ",,
USR46131,VIDID-12-2025-92617,Gaming,1:00:00,4819044,4819044:00:00,8, ? 100.00 ," ? 3,855,235.20 "," ? 2,891,426.40 "," ? 963,808.80 ",,
USR35130,VIDID-12-2025-22600,Entertainment,0:15:00,2035645,508911:15:00,2, ? 350.00 ," ? 1,424,951.50 "," ? 1,068,713.63 "," ? 356,237.88 ",,
USR93580,VIDID-12-2025-2082,Life Style,0:22:00,4393690,1611019:40:00,3, ? 250.00 ," ? 3,295,267.50 "," ? 2,471,450.63 "," ? 823,816.88 ",,
USR69318,VIDID-12-2025-48304,Life Style,0:22:00,1568771,575216:02:00,3, ? 250.00 ," ? 1,176,578.25 "," ? 882,433.69 "," ? 294,144.56 ",,
USR88987,VIDID-12-2025-86983,News,0:25:00,8262314,3442630:50:00,3, ? 400.00 ," ? 9,914,776.80 "," ? 7,436,082.60 "," ? 2,478,694.20 ",,
USR80874,VIDID-12-2025-40141,Life Style,0:22:00,1951698,715622:36:00,3, ? 250.00 ," ? 1,463,773.50 "," ? 1,097,830.13 "," ? 365,943.38 ",,
USR45140,VIDID-12-2025-92097,Gaming,1:00:00,9319179,9319179:00:00,8, ? 100.00 ," ? 7,455,343.20 "," ? 5,591,507.40 "," ? 1,863,835.80 ",,
USR22845,VIDID-12-2025-64373,News,0:25:00,3095122,1289634:10:00,3, ? 400.00 ," ? 3,714,146.40 "," ? 2,785,609.80 "," ? 928,536.60 ",,
USR42610,VIDID-12-2025-2958,ASMR,0:20:00,1814708,604902:40:00,3, ? 150.00 ," ? 816,618.60 "," ? 612,463.95 "," ? 204,154.65 ",,
USR98209,VIDID-12-2025-24526,Cooking,0:10:00,867652,144608:40:00,1, ? 300.00 ," ? 260,295.60 "," ? 195,221.70 "," ? 65,073.90 ",,
USR72474,VIDID-12-2025-96891,ASMR,0:20:00,9864446,3288148:40:00,3, ? 150.00 ," ? 4,439,000.70 "," ? 3,329,250.53 "," ? 1,109,750.18 ",,
USR52993,VIDID-12-2025-64384,News,0:25:00,8413429,3505595:25:00,3, ? 400.00 ," ? 10,096,114.80 "," ? 7,572,086.10 "," ? 2,524,028.70 ",,
USR22459,VIDID-12-2025-96430,Political,0:20:00,2156142,718714:00:00,3, ? 50.00 ," ? 323,421.30 "," ? 242,565.98 "," ? 80,855.33 ",,
USR9576,VIDID-12-2025-16964,Educational,0:35:00,1135725,662506:15:00,4, ? 200.00 ," ? 908,580.00 "," ? 681,435.00 "," ? 227,145.00 ",,
USR48896,VIDID-12-2025-49240,Life Style,0:22:00,529063,193989:46:00,3, ? 250.00 ," ? 396,797.25 "," ? 297,597.94 "," ? 99,199.31 ",,
USR83097,VIDID-12-2025-81109,Political,0:20:00,4465969,1488656:20:00,3, ? 50.00 ," ? 669,895.35 "," ? 502,421.51 "," ? 167,473.84 ",,
USR49224,VIDID-12-2025-13995,Technology,0:12:00,4626166,925233:12:00,2, ? 500.00 ," ? 4,626,166.00 "," ? 3,469,624.50 "," ? 1,156,541.50 ",,
USR45289,VIDID-12-2025-38006,Life Style,0:22:00,4483510,1643953:40:00,3, ? 250.00 ," ? 3,362,632.50 "," ? 2,521,974.38 "," ? 840,658.13 ",,
USR91789,VIDID-12-2025-64281,News,0:25:00,3942505,1642710:25:00,3, ? 400.00 ," ? 4,731,006.00 "," ? 3,548,254.50 "," ? 1,182,751.50 ",,
USR26318,VIDID-12-2025-97535,ASMR,0:20:00,4187393,1395797:40:00,3, ? 150.00 ," ? 1,884,326.85 "," ? 1,413,245.14 "," ? 471,081.71 ",,
USR22987,VIDID-12-2025-30111,ASMR,0:20:00,9302343,3100781:00:00,3, ? 150.00 ," ? 4,186,054.35 "," ? 3,139,540.76 "," ? 1,046,513.59 ",,
USR14536,VIDID-12-2025-66212,News,0:25:00,4375357,1823065:25:00,3, ? 400.00 ," ? 5,250,428.40 "," ? 3,937,821.30 "," ? 1,312,607.10 ",,
USR70967,VIDID-12-2025-35147,Technology,0:12:00,7812996,1562599:12:00,2, ? 500.00 ," ? 7,812,996.00 "," ? 5,859,747.00 "," ? 1,953,249.00 ",,
USR39362,VIDID-12-2025-21607,News,0:25:00,8390918,3496215:50:00,3, ? 400.00 ," ? 10,069,101.60 "," ? 7,551,826.20 "," ? 2,517,275.40 ",,
USR40309,VIDID-12-2025-7917,Educational,0:35:00,3394984,1980407:20:00,4, ? 200.00 ," ? 2,715,987.20 "," ? 2,036,990.40 "," ? 678,996.80 ",,
USR47708,VIDID-12-2025-86384,Political,0:20:00,7095960,2365320:00:00,3, ? 50.00 ," ? 1,064,394.00 "," ? 798,295.50 "," ? 266,098.50 ",,
USR53583,VIDID-12-2025-43690,ASMR,0:20:00,1321695,440565:00:00,3, ? 150.00 ," ? 594,762.75 "," ? 446,072.06 "," ? 148,690.69 ",,
USR27988,VIDID-12-2025-64819,ASMR,0:20:00,5270154,1756718:00:00,3, ? 150.00 ," ? 2,371,569.30 "," ? 1,778,676.98 "," ? 592,892.33 ",,
USR40744,VIDID-12-2025-20655,Gaming,1:00:00,129939,129939:00:00,8, ? 100.00 ," ? 103,951.20 "," ? 77,963.40 "," ? 25,987.80 ",,
USR93143,VIDID-12-2025-25660,Gaming,1:00:00,1433702,1433702:00:00,8, ? 100.00 ," ? 1,146,961.60 "," ? 860,221.20 "," ? 286,740.40 ",,
USR77723,VIDID-12-2025-99042,ASMR,0:20:00,7403583,2467861:00:00,3, ? 150.00 ," ? 3,331,612.35 "," ? 2,498,709.26 "," ? 832,903.09 ",,
USR11441,VIDID-12-2025-2683,Entertainment,0:15:00,7197674,1799418:30:00,2, ? 350.00 ," ? 5,038,371.80 "," ? 3,778,778.85 "," ? 1,259,592.95 ",,
USR45593,VIDID-12-2025-64389,Life Style,0:22:00,2582507,946919:14:00,3, ? 250.00 ," ? 1,936,880.25 "," ? 1,452,660.19 "," ? 484,220.06 ",,
USR52904,VIDID-12-2025-80503,Educational,0:35:00,850357,496041:35:00,4, ? 200.00 ," ? 680,285.60 "," ? 510,214.20 "," ? 170,071.40 ",,
USR49272,VIDID-12-2025-78553,Educational,0:35:00,4537311,2646764:45:00,4, ? 200.00 ," ? 3,629,848.80 "," ? 2,722,386.60 "," ? 907,462.20 ",,
USR37995,VIDID-12-2025-89242,ASMR,0:20:00,2689057,896352:20:00,3, ? 150.00 ," ? 1,210,075.65 "," ? 907,556.74 "," ? 302,518.91 ",,
USR91255,VIDID-12-2025-14587,Cooking,0:10:00,6479539,1079923:10:00,1, ? 300.00 ," ? 1,943,861.70 "," ? 1,457,896.28 "," ? 485,965.43 ",,
USR96574,VIDID-12-2025-69659,ASMR,0:20:00,832722,277574:00:00,3, ? 150.00 ," ? 374,724.90 "," ? 281,043.68 "," ? 93,681.23 ",,
USR27613,VIDID-12-2025-36307,Technology,0:12:00,8910902,1782180:24:00,2, ? 500.00 ," ? 8,910,902.00 "," ? 6,683,176.50 "," ? 2,227,725.50 ",,
USR35609,VIDID-12-2025-54994,Political,0:20:00,8399992,2799997:20:00,3, ? 50.00 ," ? 1,259,998.80 "," ? 944,999.10 "," ? 314,999.70 ",,
USR30624,VIDID-12-2025-14574,ASMR,0:20:00,4345680,1448560:00:00,3, ? 150.00 ," ? 1,955,556.00 "," ? 1,466,667.00 "," ? 488,889.00 ",,
USR14251,VIDID-12-2025-35329,ASMR,0:20:00,9698529,3232843:00:00,3, ? 150.00 ," ? 4,364,338.05 "," ? 3,273,253.54 "," ? 1,091,084.51 ",,
USR1142,VIDID-12-2025-19099,Entertainment,0:15:00,1564010,391002:30:00,2, ? 350.00 ," ? 1,094,807.00 "," ? 821,105.25 "," ? 273,701.75 ",,
USR26795,VIDID-12-2025-34248,Entertainment,0:15:00,1938683,484670:45:00,2, ? 350.00 ," ? 1,357,078.10 "," ? 1,017,808.58 "," ? 339,269.53 ",,
USR39900,VIDID-12-2025-16636,Gaming,1:00:00,5788601,5788601:00:00,8, ? 100.00 ," ? 4,630,880.80 "," ? 3,473,160.60 "," ? 1,157,720.20 ",,
USR15325,VIDID-12-2025-61528,Cooking,0:10:00,4858145,809690:50:00,1, ? 300.00 ," ? 1,457,443.50 "," ? 1,093,082.63 "," ? 364,360.88 ",,
USR87775,VIDID-12-2025-84838,Entertainment,0:15:00,874311,218577:45:00,2, ? 350.00 ," ? 612,017.70 "," ? 459,013.28 "," ? 153,004.43 ",,
USR88551,VIDID-12-2025-51247,Entertainment,0:15:00,7495824,1873956:00:00,2, ? 350.00 ," ? 5,247,076.80 "," ? 3,935,307.60 "," ? 1,311,769.20 ",,
USR40565,VIDID-12-2025-86387,Educational,0:35:00,5318313,3102349:15:00,4, ? 200.00 ," ? 4,254,650.40 "," ? 3,190,987.80 "," ? 1,063,662.60 ",,
USR56826,VIDID-12-2025-76457,Cooking,0:10:00,2193037,365506:10:00,1, ? 300.00 ," ? 657,911.10 "," ? 493,433.33 "," ? 164,477.78 ",,
USR19807,VIDID-12-2025-47444,ASMR,0:20:00,9634972,3211657:20:00,3, ? 150.00 ," ? 4,335,737.40 "," ? 3,251,803.05 "," ? 1,083,934.35 ",,
USR76278,VIDID-12-2025-11374,Cooking,0:10:00,179151,29858:30:00,1, ? 300.00 ," ? 53,745.30 "," ? 40,308.98 "," ? 13,436.33 ",,
