User ID,Video ID,Upload Date,Content Type,Video Length,Total Views,Total Watchtime,Likes,Dislikes
USR92198,VIDID-12-2025-55263,12-12-2025,Entertainment,0:15:00,3327626,831906:30:00,819342,845601
USR22198,VIDID-12-2025-1781,04-12-2025,Entertainment,0:15:00,4631414,1157853:30:00,778596,246456
USR94337,VIDID-12-2025-36705,15-12-2025,Entertainment,0:15:00,5781276,1445319:00:00,422113,386560
USR85943,VIDID-12-2025-12350,18-12-2025,Life Style,0:22:00,3502684,1284317:28:00,14638,106049
USR58392,VIDID-12-2025-43158,14-12-2025,Technology,0:12:00,9339860,1867972:00:00,603398,980554
USR47896,VIDID-12-2025-78449,26-12-2025,Technology,0:12:00,2814246,562849:12:00,605068,246014
USR68644,VIDID-12-2025-99088,30-12-2025,Technology,0:12:00,4980670,996134:00:00,189568,502323
USR7777,VIDID-12-2025-1700,07-12-2025,Gaming,1:00:00,1577576,1577576:00:00,751923,858159
USR93740,VIDID-12-2025-87965,02-12-2025,Educational,0:35:00,3937218,2296710:30:00,81411,596866
USR84974,VIDID-12-2025-56932,01-12-2025,Technology,0:12:00,2511617,502323:24:00,648433,789796
USR10773,VIDID-12-2025-95479,10-12-2025,Life Style,0:22:00,5328534,1953795:48:00,181525,91297
USR10740,VIDID-12-2025-41935,29-12-2025,Gaming,1:00:00,3218063,3218063:00:00,884202,487991
USR99695,VIDID-12-2025-98263,28-12-2025,Life Style,0:22:00,6478320,2375384:00:00,93304,874174
USR22883,VIDID-12-2025-6222,09-12-2025,ASMR,0:20:00,6622381,2207460:20:00,981839,535367
USR26527,VIDID-12-2025-25069,05-12-2025,Gaming,1:00:00,9830081,9830081:00:00,227766,767307
USR23907,VIDID-12-2025-82342,12-12-2025,News,0:25:00,4187692,1744871:40:00,79425,154650
USR33504,VIDID-12-2025-24617,24-12-2025,Gaming,1:00:00,841915,841915:00:00,50673,339422
USR61076,VIDID-12-2025-91308,03-12-2025,Educational,0:35:00,2303652,1343797:00:00,42503,684871
USR9437,VIDID-12-2025-64745,17-12-2025,Technology,0:12:00,6062339,1212467:48:00,760230,649156
USR17602,VIDID-12-2025-37096,11-12-2025,Cooking,0:10:00,247714,41285:40:00,928683,502227
USR33088,VIDID-12-2025-28443,27-12-2025,Political,0:20:00,3064333,1021444:20:00,321308,162230
USR96475,VIDID-12-2025-6273,22-12-2025,Educational,0:35:00,5712204,3332119:00:00,576977,227819
USR50718,VIDID-12-2025-55417,07-12-2025,Gaming,1:00:00,4296224,4296224:00:00,233153,340592
USR5490,VIDID-12-2025-28228,28-12-2025,Educational,0:35:00,9904677,5777728:15:00,924793,499100
USR51254,VIDID-12-2025-76553,13-12-2025,Gaming,1:00:00,9257501,9257501:00:00,809190,941215
USR24788,VIDID-12-2025-84057,05-12-2025,Technology,0:12:00,9429514,1885902:48:00,236616,45865
USR83088,VIDID-12-2025-48902,01-12-2025,Political,0:20:00,7802555,2600851:40:00,882202,853338
USR43154,VIDID-12-2025-71353,19-12-2025,ASMR,0:20:00,2145306,715102:00:00,855428,553432
USR69319,VIDID-12-2025-25380,10-12-2025,Gaming,1:00:00,422646,422646:00:00,529235,730603
USR99177,VIDID-12-2025-94370,21-12-2025,Gaming,1:00:00,2654623,2654623:00:00,853963,956516
USR61914,VIDID-12-2025-3336,12-12-2025,Cooking,0:10:00,1249485,208247:30:00,546312,615930
USR8964,VIDID-12-2025-98293,24-12-2025,Gaming,1:00:00,2621673,2621673:00:00,933648,132847
USR33924,VIDID-12-2025-12156,22-12-2025,Entertainment,0:15:00,8689903,2172475:45:00,808402,803219
USR11889,VIDID-12-2025-89937,16-12-2025,News,0:25:00,5300420,2208508:20:00,541191,467537
USR40026,VIDID-12-2025-60939,17-12-2025,ASMR,0:20:00,6523200,2174400:00:00,395351,928631
USR46131,VIDID-12-2025-92617,25-12-2025,Gaming,1:00:00,4819044,4819044:00:00,725670,977124
USR35130,VIDID-12-2025-22600,07-12-2025,Entertainment,0:15:00,2035645,508911:15:00,820881,533361
USR93580,VIDID-12-2025-2082,12-12-2025,Life Style,0:22:00,4393690,1611019:40:00,564681,379527
USR69318,VIDID-12-2025-48304,22-12-2025,Life Style,0:22:00,1568771,575216:02:00,221810,503148
USR88987,VIDID-12-2025-86983,08-12-2025,News,0:25:00,8262314,3442630:50:00,503800,894534
USR80874,VIDID-12-2025-40141,02-12-2025,Life Style,0:22:00,1951698,715622:36:00,105177,982490
USR45140,VIDID-12-2025-92097,22-12-2025,Gaming,1:00:00,9319179,9319179:00:00,866065,333733
USR22845,VIDID-12-2025-64373,17-12-2025,News,0:25:00,3095122,1289634:10:00,560708,346611
USR42610,VIDID-12-2025-2958,22-12-2025,ASMR,0:20:00,1814708,604902:40:00,770090,573019
USR98209,VIDID-12-2025-24526,25-12-2025,Cooking,0:10:00,867652,144608:40:00,219319,478916
USR72474,VIDID-12-2025-96891,01-12-2025,ASMR,0:20:00,9864446,3288148:40:00,213234,785527
USR52993,VIDID-12-2025-64384,19-12-2025,News,0:25:00,8413429,3505595:25:00,885702,709639
USR22459,VIDID-12-2025-96430,29-12-2025,Political,0:20:00,2156142,718714:00:00,770403,798939
USR9576,VIDID-12-2025-16964,16-12-2025,Educational,0:35:00,1135725,662506:15:00,621040,176874
USR48896,VIDID-12-2025-49240,25-12-2025,Life Style,0:22:00,529063,193989:46:00,801019,77273
USR83097,VIDID-12-2025-81109,29-12-2025,Political,0:20:00,4465969,1488656:20:00,533461,854648
USR49224,VIDID-12-2025-13995,06-12-2025,Technology,0:12:00,4626166,925233:12:00,918647,905335
USR45289,VIDID-12-2025-38006,13-12-2025,Life Style,0:22:00,4483510,1643953:40:00,817125,289858
USR91789,VIDID-12-2025-64281,09-12-2025,News,0:25:00,3942505,1642710:25:00,732726,340832
USR26318,VIDID-12-2025-97535,01-12-2025,ASMR,0:20:00,4187393,1395797:40:00,183079,869266
USR22987,VIDID-12-2025-30111,18-12-2025,ASMR,0:20:00,9302343,3100781:00:00,625712,296823
USR14536,VIDID-12-2025-66212,19-12-2025,News,0:25:00,4375357,1823065:25:00,579819,989806
USR70967,VIDID-12-2025-35147,20-12-2025,Technology,0:12:00,7812996,1562599:12:00,454168,334392
USR39362,VIDID-12-2025-21607,23-12-2025,News,0:25:00,8390918,3496215:50:00,183559,845501
USR40309,VIDID-12-2025-7917,28-12-2025,Educational,0:35:00,3394984,1980407:20:00,370484,112429
USR47708,VIDID-12-2025-86384,11-12-2025,Political,0:20:00,7095960,2365320:00:00,196179,410560
USR53583,VIDID-12-2025-43690,14-12-2025,ASMR,0:20:00,1321695,440565:00:00,492643,58802
USR27988,VIDID-12-2025-64819,29-12-2025,ASMR,0:20:00,5270154,1756718:00:00,338440,613156
USR40744,VIDID-12-2025-20655,23-12-2025,Gaming,1:00:00,129939,129939:00:00,959732,57026
USR93143,VIDID-12-2025-25660,18-12-2025,Gaming,1:00:00,1433702,1433702:00:00,416359,279351
USR77723,VIDID-12-2025-99042,16-12-2025,ASMR,0:20:00,7403583,2467861:00:00,47521,379901
USR11441,VIDID-12-2025-2683,18-12-2025,Entertainment,0:15:00,7197674,1799418:30:00,817321,207717
USR45593,VIDID-12-2025-64389,17-12-2025,Life Style,0:22:00,2582507,946919:14:00,967113,390489
USR52904,VIDID-12-2025-80503,27-12-2025,Educational,0:35:00,850357,496041:35:00,374239,608706
USR49272,VIDID-12-2025-78553,05-12-2025,Educational,0:35:00,4537311,2646764:45:00,342320,613808
USR37995,VIDID-12-2025-89242,30-12-2025,ASMR,0:20:00,2689057,896352:20:00,587624,249601
USR91255,VIDID-12-2025-14587,17-12-2025,Cooking,0:10:00,6479539,1079923:10:00,727399,455553
USR96574,VIDID-12-2025-69659,14-12-2025,ASMR,0:20:00,832722,277574:00:00,391298,166921
USR27613,VIDID-12-2025-36307,23-12-2025,Technology,0:12:00,8910902,1782180:24:00,56945,573431
USR35609,VIDID-12-2025-54994,01-12-2025,Political,0:20:00,8399992,2799997:20:00,687236,575209
USR30624,VIDID-12-2025-14574,29-12-2025,ASMR,0:20:00,4345680,1448560:00:00,369117,472598
USR14251,VIDID-12-2025-35329,03-12-2025,ASMR,0:20:00,9698529,3232843:00:00,103391,811013
USR1142,VIDID-12-2025-19099,30-12-2025,Entertainment,0:15:00,1564010,391002:30:00,577724,164820
USR26795,VIDID-12-2025-34248,15-12-2025,Entertainment,0:15:00,1938683,484670:45:00,621418,152352
USR39900,VIDID-12-2025-16636,29-12-2025,Gaming,1:00:00,5788601,5788601:00:00,100320,59685
USR15325,VIDID-12-2025-61528,20-12-2025,Cooking,0:10:00,4858145,809690:50:00,393862,345525
USR87775,VIDID-12-2025-84838,17-12-2025,Entertainment,0:15:00,874311,218577:45:00,425887,592597
USR88551,VIDID-12-2025-51247,17-12-2025,Entertainment,0:15:00,7495824,1873956:00:00,858537,503147
USR40565,VIDID-12-2025-86387,15-12-2025,Educational,0:35:00,5318313,3102349:15:00,683320,219016
USR56826,VIDID-12-2025-76457,08-12-2025,Cooking,0:10:00,2193037,365506:10:00,598638,563283
USR19807,VIDID-12-2025-47444,22-12-2025,ASMR,0:20:00,9634972,3211657:20:00,944506,377440
USR76278,VIDID-12-2025-11374,30-12-2025,Cooking,0:10:00,179151,29858:30:00,135591,288328
USR8691,VIDID-12-2025-18841,16-12-2025,Technology,0:12:00,2072062,414412:24:00,877173,218256
USR25043,VIDID-12-2025-70633,10-12-2025,Gaming,1:00:00,2817271,2817271:00:00,251085,689110
USR17595,VIDID-12-2025-25511,24-12-2025,Political,0:20:00,996500,332166:40:00,461344,927188
USR33084,VIDID-12-2025-84736,22-12-2025,ASMR,0:20:00,7419419,2473139:40:00,559054,823661
USR19337,VIDID-12-2025-69294,22-12-2025,Gaming,1:00:00,8751187,8751187:00:00,701471,625385
USR92184,VIDID-12-2025-26030,31-12-2025,Cooking,0:10:00,5866812,977802:00:00,590487,13168
USR96637,VIDID-12-2025-9381,01-12-2025,Life Style,0:22:00,1921124,704412:08:00,630846,617455
USR57577,VIDID-12-2025-53218,01-12-2025,Educational,0:35:00,9452605,5514019:35:00,344945,667623
USR36,VIDID-12-2025-68141,30-12-2025,Technology,0:12:00,2148947,429789:24:00,845181,443716
USR52347,VIDID-12-2025-20072,25-12-2025,Cooking,0:10:00,7564802,1260800:20:00,337982,337853
USR67757,VIDID-12-2025-59816,22-12-2025,Entertainment,0:15:00,2762431,690607:45:00,578831,864288
USR73622,VIDID-12-2025-31893,25-12-2025,Entertainment,0:15:00,1621613,405403:15:00,675220,515848
USR42822,VIDID-12-2025-31129,05-12-2025,Gaming,1:00:00,1731741,1731741:00:00,627908,62546
USR91517,VIDID-12-2025-55265,18-12-2025,Entertainment,0:15:00,9507113,2376778:15:00,178946,150008
USR99049,VIDID-12-2025-59577,26-12-2025,Technology,0:12:00,5169232,1033846:24:00,576321,287653
USR63612,VIDID-12-2025-21140,07-12-2025,News,0:25:00,9909166,4128819:10:00,455039,921473
USR49452,VIDID-12-2025-56615,13-12-2025,News,0:25:00,9033150,3763812:30:00,410817,461538
USR2,VIDID-12-2025-12620,15-12-2025,Political,0:20:00,8419010,2806336:40:00,535659,490107
USR27498,VIDID-12-2025-86072,02-12-2025,Gaming,1:00:00,5614006,5614006:00:00,544603,850798
USR80032,VIDID-12-2025-99160,03-12-2025,Gaming,1:00:00,5433537,5433537:00:00,675666,770434
USR97279,VIDID-12-2025-57883,02-12-2025,Entertainment,0:15:00,7370088,1842522:00:00,986248,597333
USR97239,VIDID-12-2025-86438,13-12-2025,Entertainment,0:15:00,9129846,2282461:30:00,817243,713127
USR21538,VIDID-12-2025-89269,02-12-2025,Entertainment,0:15:00,6633351,1658337:45:00,688003,212865
USR57814,VIDID-12-2025-51095,05-12-2025,Political,0:20:00,8095470,2698490:00:00,867159,985501
USR3222,VIDID-12-2025-34609,26-12-2025,Cooking,0:10:00,714359,119059:50:00,649258,202206
USR58137,VIDID-12-2025-63631,13-12-2025,News,0:25:00,7921341,3300558:45:00,731174,195729
USR88855,VIDID-12-2025-15279,31-12-2025,Life Style,0:22:00,4686821,1718501:02:00,419556,874050
USR45304,VIDID-12-2025-71349,21-12-2025,Technology,0:12:00,7040770,1408154:00:00,211976,633015
USR24505,VIDID-12-2025-91569,24-12-2025,Technology,0:12:00,9672304,1934460:48:00,99813,107769
USR60859,VIDID-12-2025-32268,06-12-2025,Life Style,0:22:00,9149823,3354935:06:00,817475,489843
USR96901,VIDID-12-2025-56781,22-12-2025,Cooking,0:10:00,4610086,768347:40:00,673967,423613
USR967,VIDID-12-2025-35148,15-12-2025,Gaming,1:00:00,203875,203875:00:00,862443,292524
USR63643,VIDID-12-2025-44675,27-12-2025,Entertainment,0:15:00,2759022,689755:30:00,112155,47029
USR55734,VIDID-12-2025-63580,13-12-2025,Entertainment,0:15:00,4406131,1101532:45:00,748456,400971
USR12044,VIDID-12-2025-32267,12-12-2025,Cooking,0:10:00,7352112,1225352:00:00,469560,453499
USR12912,VIDID-12-2025-59310,18-12-2025,News,0:25:00,4651124,1937968:20:00,443359,612960
USR65843,VIDID-12-2025-30268,15-12-2025,Gaming,1:00:00,2177721,2177721:00:00,857575,216578
USR34006,VIDID-12-2025-36457,19-12-2025,Life Style,0:22:00,7319578,2683845:16:00,892605,480442
USR74006,VIDID-12-2025-79216,14-12-2025,Gaming,1:00:00,241913,241913:00:00,261575,214068
USR54945,VIDID-12-2025-37633,02-12-2025,Educational,0:35:00,9386017,5475176:35:00,960373,615949
USR15757,VIDID-12-2025-96517,30-12-2025,Cooking,0:10:00,3464083,577347:10:00,734235,809681
USR12964,VIDID-12-2025-43591,05-12-2025,Political,0:20:00,8835163,2945054:20:00,144304,772352
USR80845,VIDID-12-2025-56175,23-12-2025,News,0:25:00,9500315,3958464:35:00,301495,701097
USR16017,VIDID-12-2025-14151,22-12-2025,Gaming,1:00:00,3344958,3344958:00:00,872031,757564
USR90122,VIDID-12-2025-62500,19-12-2025,Life Style,0:22:00,8444245,3096223:10:00,88554,120735
USR4555,VIDID-12-2025-28848,10-12-2025,Technology,0:12:00,7326495,1465299:00:00,82533,988350
USR3347,VIDID-12-2025-68973,13-12-2025,Cooking,0:10:00,8826162,1471027:00:00,536222,779651
USR62916,VIDID-12-2025-10977,13-12-2025,Political,0:20:00,4828823,1609607:40:00,93581,148538
USR86348,VIDID-12-2025-90697,14-12-2025,News,0:25:00,2316260,965108:20:00,642789,605
USR20325,VIDID-12-2025-97604,07-12-2025,Political,0:20:00,8672582,2890860:40:00,392658,146191
USR91710,VIDID-12-2025-26727,18-12-2025,Technology,0:12:00,5286516,1057303:12:00,216855,709736
USR27922,VIDID-12-2025-14262,12-12-2025,Entertainment,0:15:00,5747965,1436991:15:00,811864,356031
USR62368,VIDID-12-2025-63851,15-12-2025,News,0:25:00,373419,155591:15:00,540961,125055
USR48610,VIDID-12-2025-26983,21-12-2025,Technology,0:12:00,5893652,1178730:24:00,315708,336017
USR88838,VIDID-12-2025-7924,29-12-2025,Technology,0:12:00,8691662,1738332:24:00,207892,382543
USR52109,VIDID-12-2025-5410,23-12-2025,Technology,0:12:00,9461524,1892304:48:00,102832,173346
USR10169,VIDID-12-2025-1592,18-12-2025,Educational,0:35:00,7342733,4283260:55:00,364125,35700
USR96715,VIDID-12-2025-33687,21-12-2025,Life Style,0:22:00,8512255,3121160:10:00,996141,779827
USR80208,VIDID-12-2025-84878,28-12-2025,Cooking,0:10:00,4902841,817140:10:00,738916,662200
USR65924,VIDID-12-2025-48111,15-12-2025,Political,0:20:00,3765155,1255051:40:00,688829,358080
USR42111,VIDID-12-2025-39391,08-12-2025,Educational,0:35:00,5578907,3254362:25:00,387506,791923
USR19328,VIDID-12-2025-63727,19-12-2025,Entertainment,0:15:00,6410420,1602605:00:00,765557,34636
USR16962,VIDID-12-2025-32295,16-12-2025,Gaming,1:00:00,4111690,4111690:00:00,28582,595761
USR54654,VIDID-12-2025-58064,03-12-2025,Cooking,0:10:00,9950676,1658446:00:00,526799,194160
USR58685,VIDID-12-2025-67279,03-12-2025,Technology,0:12:00,6281142,1256228:24:00,156172,114563
USR31186,VIDID-12-2025-96591,06-12-2025,ASMR,0:20:00,1080386,360128:40:00,130805,469815
USR32050,VIDID-12-2025-864,31-12-2025,Cooking,0:10:00,3779786,629964:20:00,179720,800093
USR90011,VIDID-12-2025-73170,16-12-2025,Political,0:20:00,2342981,780993:40:00,434978,567158
USR20970,VIDID-12-2025-59972,15-12-2025,Cooking,0:10:00,6086550,1014425:00:00,433712,852069
USR38826,VIDID-12-2025-99983,11-12-2025,Life Style,0:22:00,1977008,724902:56:00,303833,521327
USR45796,VIDID-12-2025-96778,08-12-2025,Technology,0:12:00,8746351,1749270:12:00,399505,227038
USR92575,VIDID-12-2025-25633,08-12-2025,Entertainment,0:15:00,9669177,2417294:15:00,869308,554638
USR34885,VIDID-12-2025-46330,21-12-2025,Cooking,0:10:00,7968515,1328085:50:00,508195,613427
USR25436,VIDID-12-2025-85018,26-12-2025,ASMR,0:20:00,3171030,1057010:00:00,770136,398077
USR768,VIDID-12-2025-35806,20-12-2025,Life Style,0:22:00,3671272,1346133:04:00,89830,782996
USR92779,VIDID-12-2025-33593,22-12-2025,ASMR,0:20:00,8146388,2715462:40:00,160532,451670
USR75464,VIDID-12-2025-85951,12-12-2025,Educational,0:35:00,5610412,3272740:20:00,645969,867238
USR77040,VIDID-12-2025-1195,01-12-2025,Technology,0:12:00,1627485,325497:00:00,365286,936408
USR2820,VIDID-12-2025-23683,07-12-2025,Cooking,0:10:00,865500,144250:00:00,612900,492485
USR96213,VIDID-12-2025-17704,03-12-2025,Life Style,0:22:00,2109614,773525:08:00,341698,314501
USR18938,VIDID-12-2025-85175,30-12-2025,Technology,0:12:00,6946776,1389355:12:00,851625,538506
USR45019,VIDID-12-2025-66047,18-12-2025,Entertainment,0:15:00,1478860,369715:00:00,77821,768845
USR45964,VIDID-12-2025-103,29-12-2025,Life Style,0:22:00,5184061,1900822:22:00,140489,484816
USR47696,VIDID-12-2025-16679,11-12-2025,Life Style,0:22:00,2427021,889907:42:00,615049,553036
USR47758,VIDID-12-2025-37421,07-12-2025,News,0:25:00,4782741,1992808:45:00,670271,684706
USR89122,VIDID-12-2025-41085,27-12-2025,Entertainment,0:15:00,8406943,2101735:45:00,9123,872645
USR66109,VIDID-12-2025-92469,02-12-2025,News,0:25:00,6498199,2707582:55:00,989791,524167
USR81576,VIDID-12-2025-2694,31-12-2025,Gaming,1:00:00,2932263,2932263:00:00,391408,482222
USR82044,VIDID-12-2025-50144,20-12-2025,Political,0:20:00,6955332,2318444:00:00,971018,51466
USR64717,VIDID-12-2025-25750,09-12-2025,Life Style,0:22:00,3228405,1183748:30:00,809794,632296
USR23214,VIDID-12-2025-29512,16-12-2025,Gaming,1:00:00,6569332,6569332:00:00,764004,475668
USR38363,VIDID-12-2025-84303,16-12-2025,ASMR,0:20:00,7991253,2663751:00:00,699910,84905
USR40917,VIDID-12-2025-3616,29-12-2025,News,0:25:00,7653676,3189031:40:00,253821,491007
USR92436,VIDID-12-2025-56602,25-12-2025,Gaming,1:00:00,6653330,6653330:00:00,532076,849826
USR54489,VIDID-12-2025-28837,05-12-2025,Technology,0:12:00,3513263,702652:36:00,273600,623879
USR80788,VIDID-12-2025-87380,21-12-2025,Political,0:20:00,9573194,3191064:40:00,498937,801589
USR15793,VIDID-12-2025-5389,06-12-2025,ASMR,0:20:00,2876467,958822:20:00,181090,750025
USR92972,VIDID-12-2025-28309,12-12-2025,Cooking,0:10:00,7112884,1185480:40:00,85129,633430
USR7123,VIDID-12-2025-73785,14-12-2025,Educational,0:35:00,3998134,2332244:50:00,619225,943560
USR86993,VIDID-12-2025-86687,01-12-2025,ASMR,0:20:00,9640295,3213431:40:00,278400,41464
USR62153,VIDID-12-2025-74317,18-12-2025,Cooking,0:10:00,2680653,446775:30:00,135840,908865
USR15437,VIDID-12-2025-71622,13-12-2025,Technology,0:12:00,1974232,394846:24:00,220132,717787
USR35960,VIDID-12-2025-4211,02-12-2025,Life Style,0:22:00,8383835,3074072:50:00,321813,77503
USR9420,VIDID-12-2025-66289,04-12-2025,Cooking,0:10:00,126667,21111:10:00,59350,927091
USR87708,VIDID-12-2025-33714,03-12-2025,Entertainment,0:15:00,4910023,1227505:45:00,922560,993003
USR49911,VIDID-12-2025-20189,20-12-2025,Entertainment,0:15:00,686198,171549:30:00,569941,813363
USR8797,VIDID-12-2025-6626,28-12-2025,Political,0:20:00,2495550,831850:00:00,777397,52801
USR38447,VIDID-12-2025-18067,15-12-2025,News,0:25:00,9107671,3794862:55:00,408914,596649
